Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,AdBirthRate,Alcohol,BasicSanitization,CancerEtc,MedDocs,HALE,HIV,InfantMortality,LifeExpectancy,Malaria,MidwifeNursing,MaternalMortality,NeonatalMortality
Afghanistan,13765392,1.22,,189,70.44,52.39,,0.21,40.71,29.8,2.85,52.6,0.03,53.17,61.65,14.91,1.3,701,40.27
Albania,16,0.43,29.9,17,9.57,89.88,20.2,6.74,97.69,17.4,,69.03,0.04,8.51,77.84,,,15,6.03
Algeria,7561,0.8,19.3,75,25.18,88.69,9.7,0.93,87.5,14.4,,65.99,0.05,21.61,76.54,0,,114,15.05
Andorra,0,,34.2,5.9,3.53,100,3.1,11.01,100,,33.33,,,3.34,,,40.13,,1.71
Angola,18534219,2.95,,366,88.2,26.71,,7.96,47.37,16.9,,53.66,0.95,57.82,61.72,200,,251,30.63
Antigua and Barbuda,158,0.38,,4.3,7.75,96.74,37.7,5.89,87.5,22.6,,66.81,,6.77,76.14,,45.09,43,4.28
Argentina,5406,0.65,24.6,26,11.47,92.98,65.1,9.55,94.23,16.1,,66.86,0.14,10.22,76.17,0,,41,6.64
Armenia,39044,0.67,27.9,50,14.38,99.6,24.3,5.84,93.06,23,29.14,66,0.06,12.85,74.51,0,49.54,28,7.82
Australia,17476,0.2,17.7,6,3.86,100,11.9,10.83,99.99,9.3,34.89,70.56,0.04,3.26,82.28,,122,6,2.35
Austria,65,0.24,31.5,7.5,3.71,100,7.6,12.07,99.98,11.5,51.04,70.39,No data,3.05,80.98,,70.14,5,2.25
Azerbaijan,1699962,0.58,20.7,71,26.33,79.28,52.4,4.58,92.46,22.5,,63.09,0.07,23.36,70.67,0,,27,14.24
Bahamas,4127,0.14,11,19,13.96,98.89,,4.55,94.93,15.6,,64.17,No data,12,72.92,,,74,7.42
Bahrain,6,0.21,25.4,15,7.57,100,14.6,1.3,100,11.7,9.26,66.24,No data,6.48,76.46,,24.94,15,3.21
Bangladesh,49839493,0.31,40.7,221,37.54,96.43,75,0.021,45.74,21.7,4.86,63.76,No data,30.65,73.58,2.72,2.75,200,22.51
Barbados,390,0.21,8.9,0,14.03,98.47,,9.33,96.36,16.3,,67.21,0.22,13.01,76.22,,,31,9.34
Belarus,0,2.67,28,50,4.03,95.94,18.1,12,97.76,24.5,51.91,65.06,0.24,3.04,73.82,,110,3,1.64
Belgium,9,0.24,25.7,9.5,3.94,100,6.6,11.82,99.49,11.6,30.14,69.99,No data,3.17,80.71,,118.1,5,2.22
Belize,7300,0.51,,25,15.33,95.65,66.3,6.74,87.21,22.4,,65.06,No data,13.19,74.05,0.036,1744,43,10.01
Benin,7029345,3.58,8.3,60,99.59,57.87,,2.97,16.01,19.7,,54.29,0.39,64.26,61.96,411.8,,421,32.35
Bhutan,227111,0.61,,165,33.08,96.13,,0.42,67.29,23.7,3.45,62.6,No data,27.35,72.15,0.063,14.7,203,18.66
Bolivia (Plurinational State of),1883582,2.11,,117,30.98,75.41,71,4.64,56.91,17.4,,62.73,0.1,25.09,71.52,1.89,11.91,168,17.06
Bosnia and Herzegovina,0,0.53,39.6,40,6.26,94.85,10.5,6.92,95.31,18.2,21.62,66.97,No data,5.42,76.32,,61.8,10,4.56
Botswana,257169,1.18,24.6,356,41.17,71.89,52.3,6.86,74.76,20.7,,52.78,6.27,32.11,60.93,0.37,,156,17.02
Brazil,11067291,0.2,18.5,43,15.72,87,61.7,7.86,86.55,17,,64.7,0.25,14.05,75.13,3.88,91.08,63,9.39
Brunei Darussalam,9239,0.34,15.7,59,10.6,99.9,11.6,0.46,96.35,17,17.81,65.71,No data,8.78,74.4,,66.43,30,5.18
Bulgaria,318,0.62,40.5,28,8.13,98.24,39.4,12.34,85.98,23.8,40.33,65.91,0.04,6.81,74.55,,48.16,10,4.04
Burkina Faso,11658638,3.03,17.4,52,100.7,37.09,,11.83,18.83,21.9,0.66,53.35,0.19,59.55,60.92,400.1,6.7,343,27.99
Burundi,5601304,5.3,13.6,122,67.23,55.56,58.2,7.03,45.88,22.8,0.5,53.96,0.29,45.94,62.05,165.5,6.66,568,23.3
Cabo Verde,136792,0.51,,64,19.54,72.87,,5.95,70.47,17.4,7.81,65.25,0.21,16.71,74.88,0.051,9.49,61,11.75
Cambodia,5610240,0.65,24.8,366,31.62,69.86,,6.37,53.39,21.3,,60.75,0.08,27.17,69.17,19.94,5.89,178,16.87
Cameroon,20630132,3.25,9.4,212,88.46,39.05,,6.17,38.86,21.8,,51.78,1.04,57.35,59.11,254.5,,554,28.62
Canada,0,0.31,20,5.2,5.28,98.77,9.4,8.88,99.36,10,,71.15,No data,4.61,81.76,,98.19,11,3.52
Central African Republic,4096089,3.46,,540,126.7,33.75,,2.43,25.18,23.7,0.72,44.16,1.5,89.73,50.53,379.9,2.06,912,42.9
Chad,6328205,3.67,12.2,144,129.4,29.77,,1.45,8.84,24.1,0.49,50.53,0.45,76.06,57.91,167.3,2.53,1160,35.58
Chile,40,0.21,45.9,16,7.89,98.16,40.6,9.26,99.63,12.5,21.47,69.44,0.27,6.75,79.82,,109.8,14,5.1
China,26100630,1.38,25.3,65,10.71,84.21,9.2,7.15,81.68,17.4,17.73,68.01,No data,9.19,76.64,0.0001,22.91,30,5.38
Colombia,3846506,0.36,8.9,3,15.62,84.64,64.9,5.78,87.55,15.9,19.74,68.29,0.26,13.44,78.35,6.94,11.65,85,8.51
Comoros,525978,2.43,21.8,35,71.88,76.91,,0.88,35.82,23,,58.19,<0.01,54.08,66.45,1.67,,285,32.64
Congo,1346327,1.3,15,37,54.16,41.39,,7.9,18.94,17,,54.9,1.56,38.53,63.11,226.7,7.93,416,20.87
Cook Islands,765,,28.8,0,8.73,99.88,67,,97.63,,,,,7.47,,,68.18,,4.75
Costa Rica,18569,0.29,10.8,11,9.04,98.8,55.9,4.76,97.27,11.6,13.79,70.04,0.18,7.65,80.78,0,26.58,28,6.21
Côte d’Ivoire,18738388,4.01,13.8,159,,57.58,123.3,2.61,30.57,29.3,,52.52,0.86,,60.2,320,4.69,658,
Croatia,11,0.19,36.3,13,4.93,99.57,9.6,9.07,96.49,17.2,31.73,67.9,0.02,4.2,77.58,,61.92,8,3.12
Cuba,43862,0.32,29.4,7.1,5.58,89.67,52.5,5.67,92.43,16.6,77.69,68.05,0.2,4.2,77.91,,,38,2.35
Cyprus,3,0.1,37.5,6.2,2.75,99.55,4.9,10.76,99.26,11.5,26.24,71.63,No data,2.22,82.01,,40.35,7,1.58
Czechia,3,0.3,32.1,5.5,3.15,99.82,11.6,14.25,99.14,15.5,39.52,68.29,No data,2.52,78.46,,83.71,4,1.59
Democratic People's Republic of Korea,6082191,1.94,19.2,513,21.1,91.62,,3.82,81.67,25.8,,64.3,No data,16,71.76,0.75,,91,11.58
Democratic Republic of the Congo,52564709,3.26,,32,97.23,22.34,,2.05,20.44,19.4,,52.43,0.32,73.81,60.44,308.8,9.48,490,29.63
Denmark,0,0.16,20.8,6.5,4.09,100,2.3,10.36,99.6,11.7,39.26,70.53,No data,3.49,80.59,,102.4,4,3.27
Djibouti,108810,2.34,,367,65.32,47.96,,0.49,61.09,19.5,,57,0.22,54.25,64.64,13.82,,247,33.45
Dominica,7546,,,11,30.88,96.5,,11.32,77.89,,,,,27.27,,,66.99,,24.61
Dominican Republic,989731,0.38,10.5,55,31.29,89.36,,6.61,83.18,19.1,,63.21,0.29,26,71.75,0.14,14.55,94,21.41
Ecuador,1943932,0.65,,39,15.1,81.88,,4.98,86.1,13.4,20.65,67.49,0.17,12.99,77.18,1.31,25.12,63,7.89
Egypt,1640557,0.22,21.3,15,23.4,98.57,,0.4,93.97,28.2,8.22,62,0.03,19.86,70.49,0,19.41,39,12.85
El Salvador,702992,0.23,13.6,48,15.3,89.25,,3.59,87.01,14.1,,63.46,0.18,13.16,73.25,0.002,17.58,48,7.6
Equatorial Guinea,466357,2.01,,172,93.99,30.78,,9.08,66.18,22,,52.9,4.16,68.14,61.13,339.5,,296,31.59
Eritrea,1441264,4.39,7.9,102,46.31,27.8,,1.42,11.84,24.2,,54.1,0.14,33.99,62.29,19.2,11.85,518,19.4
Estonia,12,0.49,32.1,18,3.15,99.19,12.5,12.39,99.13,16.9,34.15,68.26,No data,2.46,77.6,,63.52,10,1.42
Eswatini,331005,3.35,10.8,648,59.23,59.37,,9.84,57.87,26.6,,46.91,11.31,45.85,54.05,0.51,36.01,435,19.64
Ethiopia,75106161,2.97,4.9,192,62.23,29.11,,2.19,6.86,18.4,,58.32,0.21,43.14,66.82,52.77,,446,31.76
Fiji,898821,0.45,27.4,52,24.31,88.84,,3.33,94.54,30.8,8.6,59.58,0.11,20.58,67.83,,30.18,35,9.93
Finland,2,0.23,20.9,5.6,2.49,100,6.2,11.18,99.45,10.5,33.31,70.73,No data,2.03,81.21,,8.7,3,1.4
France,222,0.47,34.5,8.4,4.12,100,5.6,12.64,98.65,10.8,32.24,71.7,0.1,3.47,81.91,,106,8,2.41
Gabon,1560166,0.97,,537,49.83,55.05,,9.57,47.32,14.8,,56.29,1.15,35.78,64.93,284.4,,261,22.21
Gambia,171850,1.96,15.3,173,60.04,63.37,,3.67,39.01,20.6,1.02,55.83,1.1,39.8,64.14,195,15.45,625,29.89
Georgia,65,0.81,30.4,99,10.52,95.26,48.6,9.61,90.49,24.9,50.06,64.2,No data,9.36,72.58,0,40.17,27,6.69
Germany,867,0.14,28.9,7.3,3.93,100,7.8,13.06,99.22,12.5,41.34,70.07,No data,3.3,80.42,,129.1,5,2.3
Ghana,15536903,1.65,4,160,54.56,66.04,76,3.12,17.15,20.9,,56.49,0.8,38.75,64.55,277.2,20.02,320,25.84
Greece,81,0.24,40.6,4.7,4.4,100,8.4,10.49,98.98,12.3,52.53,70.43,No data,3.88,80.38,,35.01,3,2.66
Grenada,25,0.34,,5.2,16.21,95.63,,9.07,91.49,21.7,,63.85,,14.25,72.7,,,25,10.66
Guatemala,3321447,1.17,,26,28.28,88.97,81.2,2.55,64.98,14.9,,61.48,0.09,23.68,70.95,0.65,0.54,103,14.02
Guinea,7973039,3.08,,177,107.9,49.72,132.6,1.07,21.06,22.6,0.86,51.51,0.57,68.72,58.81,356.6,4.17,699,31.9
Guinea-Bissau,1731541,2.2,,361,90.68,52.76,,5.05,19.82,19.8,2.04,50.92,1.51,59.23,58.23,79.77,5.55,694,38.45
Guyana,747901,0.72,13.8,93,33.1,100,,7.35,85.35,30.6,,57.17,0.51,27.37,65.59,23.49,6.97,172,20.5
Haiti,9831829,2.69,8.8,194,70.51,42.42,54.8,2.69,32.5,26.7,0.85,54.59,0.69,53.21,62.61,3.44,2.82,488,27.13
Honduras,2399777,0.39,,40,19.27,87.31,,3.49,79.22,14,,61.33,0.13,16.49,69.82,0.59,6.7,67,10.52
Hungary,14,0.29,31.9,10,5.12,100,22.8,11.6,98,23.3,31.18,66.6,No data,4.27,75.57,,66.85,12,2.73
Iceland,0,0.21,15.7,2.4,2.23,100,8,8.74,98.78,9.3,37.83,71.9,No data,1.76,82.14,,163.1,4,1.13
India,668000000,2.45,29.6,217,43.52,88.9,11.1,5.54,54.35,23.5,,59.14,No data,34.94,69.31,9.67,14.51,158,25.87
Indonesia,111000000,0.41,38.2,325,27.77,80.16,,0.6,69.38,26.5,2.74,62.33,No data,23.29,70.61,5.38,12.99,192,14.53
Iran (Islamic Republic of),18692,1.2,15.1,16,16.06,89.01,,1.01,88.29,15.1,11.53,65.66,0.06,13.81,76.66,0.21,18.91,17,9.96
Iraq,2107072,0.52,22.9,43,29.52,86.56,,0.37,90.74,21.6,,60.8,,24.65,70.29,0,16.5,83,17.44
Ireland,5,0.21,25.3,7.3,3.71,96.99,8.6,12.47,91.05,10.5,31.5,70.66,No data,3.18,81.14,,163.7,6,2.4
Israel,231,0.16,26.2,4,3.92,100,,3.86,100,9.7,34.62,71.84,No data,3.16,81.93,,54.47,3,2.09
Italy,234,0.27,23.8,6.6,3.46,99.38,5.1,7.59,98.77,9.8,38.48,71.56,0.06,2.95,82.21,,57.15,2,2.13
Jamaica,343044,0.21,12,4.5,15.62,84.4,54.7,4.19,86.95,14.8,4.15,66.59,0.62,13.43,75.85,,14.51,78,11.22
Japan,11,0.41,23.4,16,2.75,98.93,4.1,7.87,99.91,8.6,,73.62,No data,2.01,83.62,,,5,0.92
Jordan,70,0.63,,5.7,17.61,97.78,,0.69,97.53,19.4,28.08,67.59,No data,15.12,77.82,,2.08,48,10.36
Kazakhstan,25,2.56,25.7,81,11.82,89.76,31,4.66,97.74,28.6,,63.35,0.17,10.54,71.91,0,72.94,12,5.55
Kenya,13642040,1.82,12.7,380,49.59,48.18,,2.77,29.55,13.3,,56.08,1.31,35.32,64.17,72.17,8.65,353,22.71
Kiribati,33294,2.59,54.2,559,57.4,69.08,,0.52,45.36,28.5,,51.62,,44.58,58.2,,,97,23.83
Kuwait,0,0.19,22.6,22,8.71,100,6.1,0.003,100,17.6,26.46,70.23,No data,7.46,81.13,,71.51,11,4.91
Kyrgyzstan,111901,0.69,28.4,136,22.33,81.39,39.7,7.59,96.54,26.2,,63.74,0.16,19.89,71.59,0,,66,14.69
Lao People's Democratic Republic,2183066,0.92,40.9,182,53.61,71.11,94.4,10.05,69.39,27.1,,59.29,0.14,41.99,67.08,22.3,10.5,209,24.44
Latvia,14,0.85,37.3,40,4.97,97.88,18.1,12.64,91.42,22.2,31.66,65.76,0.18,4.22,74.8,,48.36,23,2.59
Lebanon,6,0.3,42.6,12,8.28,92.26,,1.65,95.36,17.9,21.03,65.67,0.03,7.08,75.98,,15.42,29,4.81
Lesotho,523534,3.16,28,780,94.06,59.79,,4.8,39.06,26.6,,41.64,8.13,71.88,47.67,,,574,43.39
Liberia,3812536,1.81,9.1,308,90.96,60.81,150.3,5.7,16.69,17.2,0.38,52.47,0.64,66.12,61.17,347,1.01,691,33.03
Libya,1640,0.51,,40,13.32,97.64,,0.029,99.86,19.7,18.94,64.35,0.1,11.41,74.6,,,70,7.49
Lithuania,42,0.77,28.5,55,4.94,90.72,14.1,15.38,92.27,22.2,42.99,65.28,0.09,4.02,74.38,,79.03,9,2.33
Luxembourg,0,0.1,22.9,6.1,2.9,100,5.6,13.18,97.61,9.6,29.22,71.53,No data,2.37,82.31,,123.3,5,1.53
Madagascar,21298533,3.33,30.7,233,57.87,34.78,,1.88,9.74,23.1,,56.3,0.19,40.66,64.19,97.32,,363,21.81
Malawi,11426323,2.08,14.3,197,53.76,63.31,137.6,3.62,25.58,16.3,,54.89,2.77,37.31,63.04,217,,370,22.82
Malaysia,174457,0.49,22.8,90,8.05,89.93,11.8,0.85,99.56,17.3,15.36,65.78,0.17,6.89,74.95,0.2,33.6,30,4.2
Maldives,1892,0.046,,42,10.15,98.25,10.1,2.07,99.05,13.9,28.86,69.11,No data,8.7,78.41,,65.73,54,5.87
Mali,18291866,3.34,12.1,57,108.6,64.59,,1.25,36.18,24.8,,52.98,No data,66.95,60.89,391.8,,620,34.76
Malta,1,0.12,26.4,8.5,7.01,100,11.3,7.56,99.96,10.8,28.6,71.32,No data,6.11,81.65,,83.7,7,4.7
Marshall Islands,28996,,,300,35.68,83.36,,,82.97,,,,,29.29,,,,,16.61
Mauritania,690268,1.93,,107,82.71,46.69,,0.033,43.5,18,1.71,58.95,No data,55.03,67.41,61.61,10.22,785,34.83
Mauritius,0,0.11,28,13,14.49,99.83,23.8,3.94,95.51,22.8,20.25,64.03,0.49,12.75,74.14,,33.83,73,9.06
Mexico,9923501,0.45,15.2,22,16.2,94.26,65.4,4.92,89.42,15.9,23.25,65.76,No data,13.93,75.87,0.2,24.17,36,8.3
Micronesia (Federated States of),72590,1.01,,119,33.66,78.57,,2.44,88.31,26.5,,55.8,,27.79,62.74,,,95,17.3
Monaco,0,,,0,3.52,100,,,100,,,,,2.87,,,,,1.95
Mongolia,43,1.61,29,428,20.23,52.86,,10.97,57.98,30.4,32.19,59.85,0.02,17.28,67.61,,37.88,47,9.6
Montenegro,5,0.52,,15,3.56,95.91,11.2,10.92,97.73,20.9,23.76,66.64,0.05,3.13,75.27,,53.46,6,2.1
Morocco,2917,0.58,15.9,102,25.27,67.69,,0.7,87.54,12.5,,63.29,0.03,21.69,72.46,0,,74,16.13
Mozambique,23150013,3.03,16,361,85.43,35.54,,2.19,26.87,18.4,0.41,48.6,5.78,61.55,55.95,355.9,6.38,318,30.89
Myanmar,41292086,1.42,47.8,391,51.77,74.82,28,4.41,65.09,24.3,,59.56,0.26,40.72,67.58,8.69,,246,24.76
Namibia,1073269,1.64,18.6,639,47.84,68.89,,5.23,33.9,21.6,,54.57,4,33.34,62.87,10.88,18.86,217,20.25
Nauru,2822,,54.7,111,34.87,99.48,94,3.71,65.6,,13.46,,,28.7,,,67.31,,22.02
Nepal,18850311,0.48,35.7,268,36.22,87.48,88.2,2.05,55.74,22.2,,60.17,0.04,29.68,69.43,0.57,,236,22.43
Netherlands,64,0.1,24.7,5.8,4.05,100,3.2,9.55,97.74,11.3,34.92,71.12,0.04,3.44,81.28,,107.5,6,2.63
New Zealand,3,0.19,16.6,7.3,5.45,100,18.5,10.44,100,10.4,32.96,69.89,0.03,4.53,81.31,,119.9,10,3.13
Nicaragua,933780,0.57,,50,19.43,59.5,,5.03,73.39,14.4,9.31,65.16,0.08,16.62,74.62,1.06,13.67,101,11.94
Niger,15779050,4.21,8.4,95,94.02,41.6,146,0.55,12.75,20.2,0.47,54.14,0.07,51.87,61.54,369.8,2.04,555,26.53
Nigeria,141000000,2.98,5.1,219,126.8,53.11,120,10.81,37.68,22.5,,53.13,0.57,79.52,61.16,296.1,,931,37.14
Niue,0,,,0,26.39,98.2,,10.28,96.77,,,,,22.22,,,,,14.18
Norway,100,0.18,21.2,6.3,2.72,100,4.6,7.52,98.06,9.3,26.47,71.23,No data,2.21,82.01,,178.6,3,1.59
Oman,5,0.47,9.6,8.8,11.21,77.9,14.5,0.77,100,18.1,20.89,63.75,0.04,9.64,72.52,0,45.3,19,5.18
Pakistan,31056287,2.35,22.3,270,76.05,88.84,47,0.29,56.64,24.8,9.26,55.78,0.1,62.12,64.18,5.06,4.75,154,45.22
Palau,15,,25.1,91,19.72,100,27,,100,,,,,17.86,,,,,10.65
Panama,437597,0.39,7.9,52,16.93,90.52,84.3,7.71,81.14,13.2,,68.28,No data,14.55,78.72,0.15,27.62,58,9.8
Papua New Guinea,6425746,1.78,,432,50.51,33.38,,1.39,14.13,29.9,,56.42,0.39,39.85,64.49,131.5,,151,23.71
Paraguay,795686,0.36,14.6,40,22.21,94.27,72,7.26,87.67,17.7,,65.63,0.18,18.92,75.56,0,6.67,88,12.41
Peru,2831613,0.92,11.7,122,15.67,72.73,60,6.63,73.34,12.8,,68.85,0.13,12.17,79.08,7.85,20.66,94,7.57
Philippines,43430927,0.25,25.8,550,29.83,88.68,,6.7,74.26,26.9,,61.91,0.1,23.48,70.3,0.47,,127,14.42
Poland,59,0.26,28.1,19,4.85,98.15,12.3,11.63,97.69,19.3,23.25,68.03,No data,4.17,77.29,,57.8,2,2.9
Portugal,20,0.26,27.3,23,3.62,100,8.3,11.88,99.44,11.2,47.49,70.49,No data,2.96,80.89,,65.32,9,2.1
Qatar,26,0.43,14.2,24,7.83,99.69,,1.62,100,15.4,,66.44,No data,6.7,76.41,,,9,3.97
Republic of Korea,257,0.53,23.8,79,3.51,99.56,1.4,10.04,100,8.3,22.49,72.03,No data,3,82.2,0.18,59.84,12,1.63
Republic of Moldova,0,1.22,25,102,15.61,82.08,,11.87,75.35,27.5,24.84,62.86,0.28,13.43,71.13,,50.04,22,11.61
The former Yugoslav Republic of Macedonia,4,0.36,,17,12.97,90.58,16.2,5.93,98.14,20.7,28.74,65.33,No data,11.38,73.73,,37.92,8,9.59
Romania,26,0.4,27.5,82,9.13,100,35.3,11.64,82.81,21.5,,66.28,0.04,7.64,74.82,,,21,4.29
Russian Federation,6,1.78,29,67,8.23,91.65,24,12.47,89.64,25.9,37.49,62.67,No data,7.05,71.3,,89.66,18,3.87
Rwanda,5065110,2.51,14.2,61,41.49,51.22,,9.26,64.24,18.3,1.13,58.87,0.58,30.88,67.69,342,9.88,275,17.86
Saint Kitts and Nevis,5,,,4.1,16.9,,,8.88,,,26.76,,,14.13,,,42.19,,11.3
Saint Lucia,33729,0.18,,9,20.95,97.82,,9.97,88.37,19,,65.25,,18.6,75.01,,,115,12.61
Saint Vincent and the Grenadines,13,0.17,,7.4,16.76,95.15,57,8.46,87.18,22.3,,63.51,,15.22,72.47,,95.05,64,10.58
Samoa,61325,0.5,30.5,11,16.87,96.25,,2.59,98.07,20.9,,61.9,,14.5,70.04,,,45,9.28
San Marino,0,,,0,1.99,100,,,100,,,,,1.77,,,,,0.93
Sao Tome and Principe,199686,0.89,5.5,156,34.69,75.72,,7.19,41.36,18.6,3.16,60.95,,26.75,69.6,10.32,22.17,130,15.69
Saudi Arabia,1496,0.66,16.6,12,8.43,99.69,,0.2,99.8,16.5,,63.2,No data,7.22,73.15,0.033,,17,4.69
Senegal,11849373,2.38,9.8,123,52.78,66.61,,0.73,50.09,18.4,2.07,58.17,0.11,36.4,67.2,69.8,1.92,346,23.96
Serbia,0,0.35,41.3,21,6.28,84.09,16.4,8.7,97.64,20.1,24.6,66.44,0.02,5.47,75.21,,76.17,13,3.95
Seychelles,0,0.59,21.7,9.7,14.76,96.25,58.3,18.35,100,21.3,,63.98,,12.7,73.2,,,54,8.98
Sierra Leone,7500446,4.15,21.8,307,138.3,46.9,139.4,5.63,14.94,30,,49.7,0.81,94.17,56.94,403.7,,1180,34.28
Singapore,10473,0.083,16.5,45,2.72,100,2.7,2.07,100,10,,73.2,0.04,2.18,82.81,,60.09,9,1
Slovakia,7,0.37,32,6.5,6.22,100,24.3,11.53,97.93,17.7,34.44,67.64,No data,5.09,77.01,,60.09,6,3.06
Slovenia,10,0.32,23.1,7.2,2.5,99.4,4.5,12.74,99.11,13.1,28.15,70.04,No data,2.01,80.47,,88.24,7,1.37
Solomon Islands,534850,0.96,38.4,86,22.3,63.01,,1.55,31.84,24.4,,57.4,,18.99,64.74,66.85,,112,9.35
Somalia,5015936,4.75,,274,132.7,26.53,,0.013,35.7,21.9,,48.09,0.03,82.77,54.57,37.27,,855,39.56
South Africa,6696701,1.29,32.2,988,37.07,78.97,71.1,9.61,73.89,26.6,7.81,54.11,5.94,28.5,62.57,0.21,12.69,125,11.04
South Sudan,9706562,4.03,,227,96.23,36.4,,,9.6,19.6,,53.02,1.46,62.37,61.99,240.4,,1110,38.91
Spain,299,0.22,29.3,9.9,3.3,100,7.7,11.32,99.9,10.1,32.17,71.56,0.08,2.74,82.33,,52.61,4,1.93
Sri Lanka,33253,0.42,23.5,65,8.74,86.36,21,4.1,94.43,17.6,8.62,66.55,0.01,7.48,76.27,0,19.61,36,5.25
Sudan,26533962,4.08,,88,65.91,51.71,,0.52,35.07,26,4.07,58.89,0.09,45.21,67.94,35.88,8.25,320,29.4
Suriname,56918,0.38,,32,20.22,87.35,61.1,5.81,83.83,21.8,10.46,63.18,0.54,18.05,72.6,0.98,20.87,122,12.72
Sweden,185,0.41,32,9.2,2.87,100,4.4,9.13,99.3,9.3,42.86,71.43,No data,2.33,81.75,,117.2,4,1.59
Switzerland,0,0.099,25.7,7.4,4.31,100,2.6,11.58,99.89,8.7,41.9,71.75,0.05,3.78,82.61,,168.6,5,2.99
Syrian Arab Republic,50998,0.37,,20,23.18,94.57,,0.28,91.56,21.8,,56.34,<0.01,17.76,64.4,0,,30,10.48
Tajikistan,123178,1.21,,86,37.75,71.69,,3.11,96.13,25.4,,61.43,0.16,32.86,68.66,0,,18,16.21
Thailand,145146,0.41,24.1,163,10.8,99.02,44.8,8.36,97.96,14.6,4.65,68.02,0.14,9.27,77.41,1.34,23.68,38,6.34
Timor-Leste,1170044,0.44,40.8,498,50.76,65.32,41.9,2.01,51.32,19.9,6.95,60.34,0.11,43.24,68.87,0.12,14.82,160,21.43
Togo,5586475,2.46,8.1,52,,46.19,,2.37,15.3,23.5,0.49,54.21,0.79,,61.92,364.3,3.02,398,26.66
Tonga,36871,1.37,30.6,16,,99.77,,0.68,93.45,23.5,,63.93,,,72.33,,,54,7.5
Trinidad and Tobago,19323,0.25,,16,,98.18,,6.88,93.4,21.5,26.5,65.19,0.11,,74.61,,34.83,68,13.08
Tunisia,6648,0.48,27.9,38,,87.26,9.2,1.99,90.3,16.4,13.11,66.75,0.05,,76.7,,26.7,46,12.06
Turkey,2009,0.32,30.1,18,,98.63,24.9,2.12,97.19,16.4,17.99,67.72,No data,,77.79,0,26.22,19,6.34
Turkmenistan,49,0.8,,49,,97.01,,5.3,97.85,30.6,,61.73,No data,,69.11,0,,8,23.06
Tuvalu,10550,,50.8,207,,98.78,,1.98,84.14,,,,,,,,,,18.33
Uganda,23239105,3.3,11.4,202,,38.23,131.5,15.14,18.42,21.9,0.95,56.29,2.02,,64.47,236.1,15.57,387,22.31
Ukraine,0,2.65,27.3,91,,91.33,,10.16,96.22,25.9,,63.79,0.3,,72.2,,,21,5.67
United Arab Emirates,0,0.26,18.7,0.78,,96.77,,3.79,98.58,17,22.11,65.45,No data,,75.31,0,49.83,3,4.2
United Kingdom of Great Britain and Northern Ireland,452,0.26,21.3,10,,100,14.4,11.21,99.11,11.2,27.47,69.67,No data,,80.65,,82.94,8,2.73
United Republic of Tanzania,33064128,2.79,14.5,306,,39.14,,11.05,26.87,17.9,,56.74,1.91,,65.36,121.7,,556,22.1
United States of America,929,0.9,26,3.2,,96.97,22.3,9.82,99.97,14.3,25.78,66.56,0.12,,78.56,,,18,3.9
Uruguay,19,0.4,24,30,,92.64,55.6,6.99,96.2,17.1,,67.54,No data,,77.03,,,18,5
Uzbekistan,399873,1.09,12.8,79,,95.64,,2.59,100,24.8,,63.46,0.15,,71.45,0,,30,12.98
Vanuatu,266041,0.86,25.1,63,,86.98,,2.14,38.13,23.7,,57.36,,,64.64,2.9,,76,12.67
Venezuela (Bolivarian Republic of),280243,0.3,,30,,95.83,,6.82,93.94,18.2,,65.1,0.2,,74.66,10.57,,115,14.45
Viet Nam,4468764,0.93,,199,,90.73,,7.86,80.08,17.3,7.96,64.89,0.11,,73.16,0.17,14.23,45,11.37
Yemen,5840695,3.74,22.2,48,,54.7,,0.055,58.5,30.7,,58.38,0.04,,67.47,24.9,7.24,169,26.65
Zambia,11830416,3.06,15.4,391,,40.59,,6.89,25.98,18,,52.71,4.11,,60.5,202.5,,232,24.53
Zimbabwe,10346543,2.37,14.5,242,,51.03,,4.92,37.57,19.4,1.82,51.17,3.91,,58.48,97.65,13.83,480,27.89
