Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,AdBirthRate,Alcohol,BasicSanitization,CancerEtc,MedDocs,HALE,HIV,InfantMortality,LifeExpectancy,Malaria,MidwifeNursing,MaternalMortality,NeonatalMortality
Lao People's Democratic Republic,2183066,0.92,40.9,182 [118-260],53.61 [43.72-64.73],71.11,94.4,10.05,69.39,27.1,,59.29,0.14 [0.12-0.15],41.99 [35.08-49.47],67.08,22.3,10.5,209 [161-277],24.44 [19.39-30.02]
Latvia,14,0.85,37.3,40 [34-46],4.97 [4.58-5.38],97.88,18.1,12.64,91.42,22.2,31.66,65.76,0.18 [0.11-0.26],4.22 [3.88-4.57],74.8,,48.36,23 [18-30],2.59 [2.32-2.88]
Lebanon,6,0.3,42.6,12 [9.9-13],8.28 [4.59-14.36],92.26,,1.65,95.36,17.9,21.03,65.67,0.03 [0.02-0.06],7.08 [3.92-12.36],75.98,,15.42,29 [22-38],4.81 [2.29-8.94]
Lesotho,523534,3.16,28.0,780 [484-1140],94.06 [74.92-118.4],59.79,,4.8,39.06,26.6,,41.64,8.13 [7-9.3],71.88 [58.69-88.12],47.67,,,574 [420-799],43.39 [33.7-55.83]
Liberia,3812536,1.81,9.1,308 [199-440],90.96 [78.6-104.9],60.81,150.3,5.7,16.69,17.2,0.38,52.47,0.64 [0.47-0.9],66.12 [58.26-74.99],61.17,347.0,1.01,691 [518-949],33.03 [27.72-39.37]
Libya,1640,0.51,,40 [26-57],13.32 [9.63-18.37],97.64,,0.029,99.86,19.7,18.94,64.35,0.1 [0.07-0.13],11.41 [8.24-15.74],74.6,,,70 [31-158],7.49 [4.89-11.2]
Lithuania,42,0.77,28.5,55 [47-63],4.94 [4.6-5.3],90.72,14.1,15.38,92.27,22.2,42.99,65.28,0.09 [0.08-0.11],4.02 [3.74-4.32],74.38,,79.03,9 [6-13],2.33 [2.07-2.6]
Luxembourg,0,0.1,22.9,6.1 [5.2-7],2.9 [2.48-3.37],100.0,5.6,13.18,97.61,9.6,29.22,71.53,No data,2.37 [2.03-2.75],82.31,,123.3,5 [3-8],1.53 [1.27-1.84]
Madagascar,21298533,3.33,30.7,233 [151-333],57.87 [49.37-67.46],34.78,,1.88,9.74,23.1,,56.3,0.19 [0.15-0.23],40.66 [35.76-46.07],64.19,97.32,,363 [256-510],21.81 [18.24-25.95]
Malawi,11426323,2.08,14.3,197 [106-316],53.76 [43.6-64.98],63.31,137.6,3.62,25.58,16.3,,54.89,2.77 [2.5-3.05],37.31 [31.49-43.49],63.04,217.0,,370 [269-517],22.82 [18.16-28.4]
Malaysia,174457,0.49,22.8,90 [77-103],8.05 [7.9-8.21],89.93,11.8,0.85,99.56,17.3,15.36,65.78,0.17 [0.15-0.19],6.89 [6.76-7.03],74.95,0.2,33.6,30 [25-35],4.2 [3.85-4.55]
Maldives,1892,0.046,,42 [32-53],10.15 [9.48-10.85],98.25,10.1,2.07,99.05,13.9,28.86,69.11,No data,8.7 [8.12-9.31],78.41,,65.73,54 [37-83],5.87 [5.23-6.56]
Mali,18291866,3.34,12.1,57 [37-81],108.6 [94.85-123.8],64.59,,1.25,36.18,24.8,,52.98,No data,66.95 [60.59-73.83],60.89,391.8,,620 [472-833],34.76 [29.29-41.01]
Malta,1,0.12,26.4,8.5 [7.3-9.8],7.01 [6.21-7.92],100.0,11.3,7.56,99.96,10.8,28.6,71.32,No data,6.11 [5.41-6.89],81.65,,83.7,7 [4-11],4.7 [4.12-5.36]
Marshall Islands,28996,,,300 [230-380],35.68 [25.27-49.64],83.36,,,82.97,,,,,29.29 [21.34-39.25],,,,,16.61 [10.55-25.23]
Mauritania,690268,1.93,,107 [69-152],82.71 [48.1-142.5],46.69,,0.033,43.5,18.0,1.71,58.95,No data,55.03 [36.76-82.54],67.41,61.61,10.22,785 [560-1120],34.83 [18.91-63.04]
Mauritius,0,0.11,28.0,13 [9.7-16],14.49 [13.53-15.53],99.83,23.8,3.94,95.51,22.8,20.25,64.03,0.49 [0.36-0.65],12.75 [11.9-13.66],74.14,,33.83,73 [57-97],9.06 [8.35-9.82]
Mexico,9923501,0.45,15.2,22 [17-28],16.2 [15.39-17.17],94.26,65.4,4.92,89.42,15.9,23.25,65.76,No data,13.93 [13.24-14.76],75.87,0.2,24.17,36 [35-37],8.3 [7.75-8.91]
Micronesia (Federated States of),72590,1.01,,119 [91-151],33.66 [15.07-74.89],78.57,,2.44,88.31,26.5,,55.8,,27.79 [12.97-55.99],62.74,,,95 [44-204],17.3 [6.89-42.08]
Monaco,0,,,0 [0-0],3.52 [2.8-4.43],100.0,,,100.0,,,,,2.87 [2.28-3.61],,,,,1.95 [1.17-2.82]
Mongolia,43,1.61,29.0,428 [220-703],20.23 [19.81-20.66],52.86,,10.97,57.98,30.4,32.19,59.85,0.02 [0.01-0.02],17.28 [16.94-17.64],67.61,,37.88,47 [39-56],9.6 [9.03-10.19]
Montenegro,5,0.52,,15 [13-17],3.56 [3.18-4],95.91,11.2,10.92,97.73,20.9,23.76,66.64,0.05 [0.01-0.1],3.13 [2.8-3.52],75.27,,53.46,6 [3-10],2.1 [1.78-2.43]
Morocco,2917,0.58,15.9,102 [87-117],25.27 [20.78-30.6],67.69,,0.7,87.54,12.5,,63.29,0.03 [0.02-0.04],21.69 [17.82-26.3],72.46,0.0,,74 [58-92],16.13 [13.08-19.75]
Mozambique,23150013,3.03,16.0,361 [223-532],85.43 [68.29-108.4],35.54,,2.19,26.87,18.4,0.41,48.6,5.78 [3.58-9.17],61.55 [50.87-75.68],55.95,355.9,6.38,318 [234-441],30.89 [24.19-40.02]
Myanmar,41292086,1.42,47.8,391 [248-567],51.77 [40.33-64.08],74.82,28.0,4.41,65.09,24.3,,59.56,0.26 [0.23-0.28],40.72 [32.66-49.05],67.58,8.69,,246 [186-332],24.76 [18.53-32.16]
Namibia,1073269,1.64,18.6,639 [457-850],47.84 [32.29-74.69],68.89,,5.23,33.9,21.6,,54.57,4 [3.32-4.65],33.34 [23.81-47.81],62.87,10.88,18.86,217 [162-301],20.25 [13.14-32.59]
Nauru,2822,,54.7,111 [95-128],34.87 [21.57-55.26],99.48,94.0,3.71,65.6,,13.46,,,28.7 [18.39-43.12],,,67.31,,22.02 [12.56-37.15]
Nepal,18850311,0.48,35.7,268 [166-394],36.22 [30.84-42.53],87.48,88.2,2.05,55.74,22.2,,60.17,0.04 [0.04-0.05],29.68 [25.65-34.24],69.43,0.57,,236 [177-325],22.43 [18.86-26.52]
Netherlands,64,0.1,24.7,5.8 [4.9-6.7],4.05 [3.94-4.15],100.0,3.2,9.55,97.74,11.3,34.92,71.12,0.04 [0.03-0.04],3.44 [3.35-3.53],81.28,,107.5,6 [4-7],2.63 [2.53-2.73]
New Zealand,3,0.19,16.6,7.3 [6.2-8.4],5.45 [5.2-5.71],100.0,18.5,10.44,100.0,10.4,32.96,69.89,0.03 [0.02-0.07],4.53 [4.32-4.74],81.31,,119.9,10 [8-11],3.13 [2.93-3.34]
Nicaragua,933780,0.57,,50 [38-63],19.43 [17.8-21.46],59.5,,5.03,73.39,14.4,9.31,65.16,0.08 [0.05-0.11],16.62 [15.28-18.29],74.62,1.06,13.67,101 [80-129],11.94 [10.84-13.26]
Niger,15779050,4.21,8.4,95 [62-136],94.02 [68.99-126.3],41.6,146.0,0.55,12.75,20.2,0.47,54.14,0.07 [0.06-0.1],51.87 [42.22-63.42],61.54,369.8,2.04,555 [409-767],26.53 [18.58-37.03]
Nigeria,141000000,2.98,5.1,219 [143-311],126.8 [109.3-148],53.11,120.0,10.81,37.68,22.5,,53.13,0.57 [0.34-0.97],79.52 [69.71-91.13],61.16,296.1,,931 [687-1290],37.14 [31.21-44.17]
Niue,0,,,0 [0-0],26.39 [11.81-60.09],98.2,,10.28,96.77,,,,,22.22 [10.16-46.39],,,,,14.18 [5.85-34.34]
Norway,100,0.18,21.2,6.3 [5.4-7.3],2.72 [2.58-2.87],100.0,4.6,7.52,98.06,9.3,26.47,71.23,No data,2.21 [2.09-2.33],82.01,,178.6,3 [2-3],1.59 [1.49-1.71]
Oman,5,0.47,9.6,8.8 [7.6-10],11.21 [10.92-11.52],77.9,14.5,0.77,100.0,18.1,20.89,63.75,0.04 [0.03-0.06],9.64 [9.38-9.91],72.52,0.0,45.3,19 [16-21],5.18 [3.69-6.64]
Pakistan,31056287,2.35,22.3,270 [180-378],76.05 [69.42-83.37],88.84,47.0,0.29,56.64,24.8,9.26,55.78,0.1 [0.09-0.11],62.12 [57.26-67.43],64.18,5.06,4.75,154 [96-247],45.22 [40.69-50.19]
Palau,15,,25.1,91 [78-105],19.72 [11.34-34.34],100.0,27.0,,100.0,,,,,17.86 [10.27-31.1],,,,,10.65 [5.35-20.39]
Panama,437597,0.39,7.9,52 [40-66],16.93 [10.46-27.4],90.52,84.3,7.71,81.14,13.2,,68.28,No data,14.55 [8.98-23.01],78.72,0.15,27.62,58 [52-64],9.8 [5.26-17.03]
Papua New Guinea,6425746,1.78,,432 [352-521],50.51 [40.18-63.21],33.38,,1.39,14.13,29.9,,56.42,0.39 [0.34-0.44],39.85 [32.56-48.48],64.49,131.5,,151 [70-324],23.71 [18.34-30.39]
Paraguay,795686,0.36,14.6,40 [35-47],22.21 [12.98-39.14],94.27,72.0,7.26,87.67,17.7,,65.63,0.18 [0.12-0.29],18.92 [11.17-31.81],75.56,0.0,6.67,88 [77-101],12.41 [6.99-22.57]
Peru,2831613,0.92,11.7,122 [94-155],15.67 [13.88-17.72],72.73,60.0,6.63,73.34,12.8,,68.85,0.13 [0.1-0.17],12.17 [10.77-13.76],79.08,7.85,20.66,94 [75-114],7.57 [6.55-8.77]
Philippines,43430927,0.25,25.8,550 [307-862],29.83 [25.18-35.2],88.68,,6.7,74.26,26.9,,61.91,0.1 [0.08-0.12],23.48 [20.05-27.09],70.3,0.47,,127 [99-170],14.42 [11.97-17.27]
Poland,59,0.26,28.1,19 [16-22],4.85 [4.74-4.95],98.15,12.3,11.63,97.69,19.3,23.25,68.03,No data,4.17 [4.07-4.26],77.29,,57.8,2 [2-3],2.9 [2.81-3]
Portugal,20,0.26,27.3,23 [20-27],3.62 [3.47-3.78],100.0,8.3,11.88,99.44,11.2,47.49,70.49,No data,2.96 [2.84-3.09],80.89,,65.32,9 [7-11],2.1 [1.97-2.24]
Qatar,26,0.43,14.2,24 [20-27],7.83 [7.45-8.22],99.69,,1.62,100.0,15.4,,66.44,No data,6.7 [6.37-7.04],76.41,,,9 [6-14],3.97 [3.6-4.31]
Republic of Korea,257,0.53,23.8,79 [74-85],3.51 [3.44-3.58],99.56,1.4,10.04,100.0,8.3,22.49,72.03,No data,3 [2.94-3.06],82.2,0.18,59.84,12 [10-13],1.63 [1.49-1.76]
Republic of Moldova,0,1.22,25.0,102 [87-118],15.61 [12.64-19.6],82.08,,11.87,75.35,27.5,24.84,62.86,0.28 [0.21-0.38],13.43 [10.88-16.77],71.13,,50.04,22 [18-27],11.61 [9.18-14.77]
The former Yugoslav Republic of Macedonia,4,0.36,,17 [13-21],12.97 [11.8-14.41],90.58,16.2,5.93,98.14,20.7,28.74,65.33,No data,11.38 [10.35-12.64],73.73,,37.92,8 [5-11],9.59 [8.59-10.79]
Romania,26,0.4,27.5,82 [70-95],9.13 [8.88-9.38],100.0,35.3,11.64,82.81,21.5,,66.28,0.04 [0.03-0.05],7.64 [7.43-7.84],74.82,,,21 [16-27],4.29 [3.57-5]
Russian Federation,6,1.78,29.0,67 [43-95],8.23 [8.07-8.4],91.65,24.0,12.47,89.64,25.9,37.49,62.67,No data,7.05 [6.91-7.19],71.3,,89.66,18 [14-24],3.87 [3.29-4.44]
Rwanda,5065110,2.51,14.2,61 [47-77],41.49 [28.17-61.19],51.22,,9.26,64.24,18.3,1.13,58.87,0.58 [0.44-0.71],30.88 [22.1-42.27],67.69,342.0,9.88,275 [208-372],17.86 [11.94-26.69]
Saint Kitts and Nevis,5,,,4.1 [3.5-4.7],16.9 [13.72-20.85],,,8.88,,,26.76,,,14.13 [11.47-17.43],,,42.19,,11.3 [8.92-14.17]
Saint Lucia,33729,0.18,,9 [7.7-10],20.95 [19.18-22.98],97.82,,9.97,88.37,19.0,,65.25,,18.6 [17.03-20.41],75.01,,,115 [72-185],12.61 [11.22-14.15]
Saint Vincent and the Grenadines,13,0.17,,7.4 [6.3-8.5],16.76 [14.76-18.99],95.15,57.0,8.46,87.18,22.3,,63.51,,15.22 [13.41-17.25],72.47,,95.05,64 [42-92],10.58 [9.1-12.2]
Samoa,61325,0.5,30.5,11 [9.7-13],16.87 [13.12-21.44],96.25,,2.59,98.07,20.9,,61.9,,14.5 [11.29-18.28],70.04,,,45 [21-100],9.28 [5.56-13.62]
San Marino,0,,,0 [0-0],1.99 [1.14-3.53],100.0,,,100.0,,,,,1.77 [1.01-3.13],,,,,0.93 [0.37-1.83]
Sao Tome and Principe,199686,0.89,5.5,156 [62-293],34.69 [23.98-50.24],75.72,,7.19,41.36,18.6,3.16,60.95,,26.75 [19.14-36.26],69.6,10.32,22.17,130 [75-213],15.69 [9.96-24.73]
Saudi Arabia,1496,0.66,16.6,12 [10-14],8.43 [7.02-10.47],99.69,,0.2,99.8,16.5,,63.2,No data,7.22 [6-8.99],73.15,0.033,,17 [10-29],4.69 [2.89-6.71]
Senegal,11849373,2.38,9.8,123 [88-165],52.78 [46.39-59.85],66.61,,0.73,50.09,18.4,2.07,58.17,0.11 [0.09-0.15],36.4 [33.25-39.72],67.2,69.8,1.92,346 [265-464],23.96 [20.78-27.57]
Serbia,0,0.35,41.3,21 [18-25],6.28 [6.01-6.57],84.09,16.4,8.7,97.64,20.1,24.6,66.44,0.02 [0.02-0.03],5.47 [5.22-5.72],75.21,,76.17,13 [10-17],3.95 [3.69-4.23]
Seychelles,0,0.59,21.7,9.7 [8.3-11],14.76 [12.6-17.3],96.25,58.3,18.35,100.0,21.3,,63.98,,12.7 [10.84-14.86],73.2,,,54 [27-109],8.98 [7.38-10.79]
Sierra Leone,7500446,4.15,21.8,307 [198-438],138.3 [122.6-155.6],46.9,139.4,5.63,14.94,30.0,,49.7,0.81 [0.66-0.96],94.17 [86.14-102.5],56.94,403.7,,1180 [877-1650],34.28 [28.92-40.18]
Singapore,10473,0.083,16.5,45 [38-51],2.72 [2.53-2.93],100.0,2.7,2.07,100.0,10.0,,73.2,0.04 [0.02-0.07],2.18 [2.03-2.34],82.81,,60.09,9 [6-13],1 [0.89-1.11]
Slovakia,7,0.37,32.0,6.5 [5.6-7.5],6.22 [6.04-6.41],100.0,24.3,11.53,97.93,17.7,34.44,67.64,No data,5.09 [4.95-5.25],77.01,,60.09,6 [4-8],3.06 [2.87-3.23]
Slovenia,10,0.32,23.1,7.2 [6.1-8.3],2.5 [2.32-2.71],99.4,4.5,12.74,99.11,13.1,28.15,70.04,No data,2.01 [1.86-2.18],80.47,,88.24,7 [5-9],1.37 [1.23-1.52]
Solomon Islands,534850,0.96,38.4,86 [66-109],22.3 [16.69-29.34],63.01,,1.55,31.84,24.4,,57.4,,18.99 [14.34-24.5],64.74,66.85,,112 [76-164],9.35 [6.49-13.03]
Somalia,5015936,4.75,,274 [177-391],132.7 [77.91-236.5],26.53,,0.013,35.7,21.9,,48.09,0.03 [0.02-0.04],82.77 [52.01-139.7],54.57,37.27,,855 [408-1620],39.56 [20.14-78.17]
South Africa,6696701,1.29,32.2,988 [688-1340],37.07 [34.93-39.48],78.97,71.1,9.61,73.89,26.6,7.81,54.11,5.94 [5.46-6.57],28.5 [27-30.18],62.57,0.21,12.69,125 [103-157],11.04 [9.52-12.61]
South Sudan,9706562,4.03,,227 [147-324],96.23 [51.5-157.4],36.4,,,9.6,19.6,,53.02,1.46 [1.05-1.91],62.37 [36.99-96.26],61.99,240.4,,1110 [781-1590],38.91 [18.26-72.94]
Spain,299,0.22,29.3,9.9 [8.5-11],3.3 [3.24-3.37],100.0,7.7,11.32,99.9,10.1,32.17,71.56,0.08 [0.06-0.1],2.74 [2.69-2.8],82.33,,52.61,4 [3-5],1.93 [1.85-2.02]
Sri Lanka,33253,0.42,23.5,65 [47-86],8.74 [8.32-9.2],86.36,21.0,4.1,94.43,17.6,8.62,66.55,0.01 [0.01-0.01],7.48 [7.12-7.88],76.27,0.0,19.61,36 [32-41],5.25 [4.9-5.61]
Sudan,26533962,4.08,,88 [53-131],65.91 [54.32-79.72],51.71,,0.52,35.07,26.0,4.07,58.89,0.09 [0.07-0.12],45.21 [38.62-53.03],67.94,35.88,8.25,320 [231-431],29.4 [23.59-36.9]
Suriname,56918,0.38,,32 [25-41],20.22 [14.87-27.6],87.35,61.1,5.81,83.83,21.8,10.46,63.18,0.54 [0.34-0.76],18.05 [13.28-24.43],72.6,0.98,20.87,122 [101-142],12.72 [9.02-17.99]
Sweden,185,0.41,32.0,9.2 [7.9-11],2.87 [2.76-2.99],100.0,4.4,9.13,99.3,9.3,42.86,71.43,No data,2.33 [2.24-2.43],81.75,,117.2,4 [3-6],1.59 [1.5-1.69]
Switzerland,0,0.099,25.7,7.4 [6.3-8.5],4.31 [4.15-4.47],100.0,2.6,11.58,99.89,8.7,41.9,71.75,0.05 [0.03-0.08],3.78 [3.64-3.93],82.61,,168.6,5 [4-7],2.99 [2.85-3.13]
Syrian Arab Republic,50998,0.37,,20 [15-26],23.18 [15.76-28.16],94.57,,0.28,91.56,21.8,,56.34,<0.01 [<0.01–<0.01],17.76 [12.16-21.37],64.4,0.0,,30 [20-46],10.48 [7.12-13.15]
Tajikistan,123178,1.21,,86 [66-109],37.75 [30.11-47.75],71.69,,3.11,96.13,25.4,,61.43,0.16 [0.14-0.21],32.86 [26.55-40.87],68.66,0.0,,18 [11-27],16.21 [12.13-21.16]
Thailand,145146,0.41,24.1,163 [100-242],10.8 [9.5-12.75],99.02,44.8,8.36,97.96,14.6,4.65,68.02,0.14 [0.13-0.15],9.27 [8.14-10.97],77.41,1.34,23.68,38 [34-42],6.34 [4.37-8.34]
Timor-Leste,1170044,0.44,40.8,498 [322-712],50.76 [34.49-73.94],65.32,41.9,2.01,51.32,19.9,6.95,60.34,0.11 [0.08-0.16],43.24 [30.19-60.58],68.87,0.12,14.82,160 [121-210],21.43 [12.82-34.02]
Togo,5586475,2.46,8.1,52 [37-69],,46.19,,2.37,15.3,23.5,0.49,54.21,0.79 [0.62-1.07],,61.92,364.3,3.02,398 [280-546],26.66 [22.2-31.81]
Tonga,36871,1.37,30.6,16 [14-18],,99.77,,0.68,93.45,23.5,,63.93,,,72.33,,,54 [26-118],7.5 [5.55-9.84]
Trinidad and Tobago,19323,0.25,,16 [14-19],,98.18,,6.88,93.4,21.5,26.5,65.19,0.11 [0.07-0.17],,74.61,,34.83,68 [52-89],13.08 [6.18-29.21]
Tunisia,6648,0.48,27.9,38 [29-48],,87.26,9.2,1.99,90.3,16.4,13.11,66.75,0.05 [0.03-0.08],,76.7,,26.7,46 [36-55],12.06 [11.5-12.62]
Turkey,2009,0.32,30.1,18 [16-21],,98.63,24.9,2.12,97.19,16.4,17.99,67.72,No data,,77.79,0.0,26.22,19 [16-21],6.34 [5.77-6.95]
Turkmenistan,49,0.8,,49 [38-62],,97.01,,5.3,97.85,30.6,,61.73,No data,,69.11,0.0,,8 [6-11],23.06 [18.07-29.16]
Tuvalu,10550,,50.8,207 [177-239],,98.78,,1.98,84.14,,,,,,,,,,18.33 [10.83-31.07]
Uganda,23239105,3.3,11.4,202 [120-304],,38.23,131.5,15.14,18.42,21.9,0.95,56.29,2.02 [1.74-2.5],,64.47,236.1,15.57,387 [293-520],22.31 [18.61-26.82]
Ukraine,0,2.65,27.3,91 [59-130],,91.33,,10.16,96.22,25.9,,63.79,0.3 [0.25-0.36],,72.2,,,21 [16-27],5.67 [4.2-6.87]
United Arab Emirates,0,0.26,18.7,0.78 [0.67-0.9],,96.77,,3.79,98.58,17.0,22.11,65.45,No data,,75.31,0.0,49.83,3 [2-5],4.2 [3.81-4.65]
United Kingdom of Great Britain and Northern Ireland,452,0.26,21.3,10 [9-11],,100.0,14.4,11.21,99.11,11.2,27.47,69.67,No data,,80.65,,82.94,8 [7-8],2.73 [2.65-2.8]
United Republic of Tanzania,33064128,2.79,14.5,306 [146-525],,39.14,,11.05,26.87,17.9,,56.74,1.91 [1.74-2.08],,65.36,121.7,,556 [434-732],22.1 [18.25-26.99]
United States of America,929,0.9,26.0,3.2 [2.8-3.8],,96.97,22.3,9.82,99.97,14.3,25.78,66.56,0.12 [0.1-0.15],,78.56,,,18 [16-19],3.9 [3.79-4]
Uruguay,19,0.4,24.0,30 [26-35],,92.64,55.6,6.99,96.2,17.1,,67.54,No data,,77.03,,,18 [16-21],5 [4.65-5.36]
Uzbekistan,399873,1.09,12.8,79 [57-105],,95.64,,2.59,100.0,24.8,,63.46,0.15 [0.14-0.16],,71.45,0.0,,30 [24-37],12.98 [9.39-16.65]
Vanuatu,266041,0.86,25.1,63 [52-74],,86.98,,2.14,38.13,23.7,,57.36,,,64.64,2.9,,76 [35-166],12.67 [7.46-20.11]
Venezuela (Bolivarian Republic of),280243,0.3,,30 [23-38],,95.83,,6.82,93.94,18.2,,65.1,0.2 [0.14-0.26],,74.66,10.57,,115 [92-151],14.45 [13.64-15.31]
Viet Nam,4468764,0.93,,199 [125-290],,90.73,,7.86,80.08,17.3,7.96,64.89,0.11 [0.09-0.12],,73.16,0.17,14.23,45 [33-62],11.37 [9.16-13.76]
Yemen,5840695,3.74,22.2,48 [42-54],,54.7,,0.055,58.5,30.7,,58.38,0.04 [0.02-0.07],,67.47,24.9,7.24,169 [105-264],26.65 [19.45-36.23]
Zambia,11830416,3.06,15.4,391 [253-558],,40.59,,6.89,25.98,18.0,,52.71,4.11 [3.45-5.04],,60.5,202.5,,232 [178-305],24.53 [21.29-28.42]
Zimbabwe,10346543,2.37,14.5,242 [179-314],,51.03,,4.92,37.57,19.4,1.82,51.17,3.91 [2.75-5.4],,58.48,97.65,13.83,480 [385-588],27.89 [23.72-32.63]
